,시,읍면동,와이파이_유동인구,인구,객실,병의원및의약품판매업대비총인구,약국,65세 비율,weight
0,제주시,일도1동,1.0,0.013718774097519863,0.005383580080753701,0.03985628429579305,0.2,0.7018181818181818,1.9607768202922484
1,제주시,건입동,0.47934814029859985,0.1319512938686943,0.03283983849259758,0.45419388555003914,0.07500000000000001,0.44727272727272727,1.620605885482658
2,제주시,연동,0.43680802269123276,0.7579219195523914,0.9999999999999999,0.17147373922132217,0.55,0.06909090909090915,2.9852945905558554
3,제주시,조천읍,0.4064626312440704,0.435970087692556,0.12759084791386271,0.27942513718317213,0.2,0.3563636363636363,1.8058123403972974
4,제주시,일도2동,0.35245047425612325,0.5557089826587522,0.020726783310901747,0.1307002874314084,0.4,0.24363636363636365,1.7032228912935494
5,제주시,구좌읍,0.2837638131294262,0.2551333321377975,0.10524899057873485,0.22617193624248755,0.17500000000000002,0.6145454545454545,1.6598635266339006
6,제주시,노형동,0.2193994038871869,1.0000000000000002,0.4078061911170928,0.08404755683302846,1.0,0.0,2.7112531518373086
7,제주시,이도1동,0.2181837616997895,0.10628911643921597,0.21991924629878867,0.1363731382283773,0.625,0.33818181818181814,1.6439470808479897
8,제주시,우도면,0.21755523176168773,0.0,0.0,0.0,0.0,0.6072727272727273,0.0
9,제주시,용담2동,0.2159504142523645,0.2310133959794129,0.19676985195154775,0.24419388555003915,0.15000000000000002,0.38909090909090915,1.4270184568242734
10,제주시,이도2동,0.21112954622817884,0.8668292595448596,0.11170928667563929,0.2823360334465639,0.30000000000000004,0.09454545454545454,1.8665495804406962
11,제주시,아라동,0.18905665411493702,0.6807022577694888,0.16635262449528934,0.2527332113927358,0.325,0.007272727272727264,1.6211174750451782
12,제주시,애월읍,0.1833464851005761,0.6592543442784642,0.7617765814266486,0.5627776326103997,0.0,0.3054545454545454,0.0
13,제주시,한림읍,0.171050148801774,0.40474866847192587,0.6479138627187079,0.17064802717533314,0.0,0.46545454545454545,0.0
14,제주시,삼도2동,0.15996256746649037,0.11636748381543317,0.28102288021534316,0.22157564672066893,0.325,0.3818181818181817,1.4857467600361174
15,제주시,용담1동,0.13070913121350244,0.09326973082509908,0.07052489905787349,0.10893127776326103,0.125,0.4290909090909091,0.9575259479506452
16,제주시,외도동,0.103966984346944,0.37340171798504385,0.1437415881561238,0.2199634178207473,0.25,0.014545454545454584,1.1056191628543135
17,제주시,봉개동,0.0976221529348631,0.06497139680433263,0.0791386271870794,0.644107656127515,0.05,0.2981818181818182,1.2340216512356084
18,제주시,한경면,0.0955184362492141,0.1421731255491993,0.029609690444145353,0.30105565717272015,0.0,0.68,0.0
19,제주시,삼양동,0.07179242171396397,0.4370640030127504,0.020995962314939432,0.10504311471126207,0.25,0.04363636363636364,0.9285318653892793
20,제주시,오라동,0.0580125962607469,0.25793088607140935,0.026648721399730818,0.5618343349882413,0.025,0.021818181818181848,0.0
21,제주시,이호동,0.03622396723719297,0.05152161827735237,0.0,0.05872746276456754,0.05,0.21090909090909093,0.4073821391882038
22,제주시,도두동,0.03402571632789073,0.030522030737227195,0.11359353970390308,0.7899137705774758,0.025,0.18181818181818188,0.0
23,제주시,화북동,0.02738671554520019,0.4053763248031849,0.0,0.18819179513979617,0.275,0.13454545454545452,1.0305002900336357
24,제주시,삼도1동,0.01610157466467711,0.2128292954109356,0.09071332436069986,0.14539587143977004,0.07500000000000001,0.3490909090909091,0.8891309749669918
25,제주시,추자면,0.0,0.0021340315262808676,0.0,0.405539587143977,0.025,0.9999999999999999,0.0
26,서귀포시,성산읍,0.6171505460342044,0.2692287000340728,0.8500672947510094,0.2411471126208518,0.125,0.5563636363636363,2.6589572898037743
27,서귀포시,서홍동,0.520350048342651,0.16991553539085058,0.060026917900403765,0.42848967859942505,0.05,0.18545454545454543,1.4142367256878758
28,서귀포시,안덕면,0.3126533586632219,0.19726341839571043,0.39030955585464333,0.47334726940162003,0.05,0.4290909090909091,1.8526645114061049
29,서귀포시,표선면,0.30968062527690415,0.19758621308035795,0.2446837146702557,0.2440109746537758,0.1,0.4763636363636363,1.57232516404493
30,서귀포시,예래동,0.2794055212515199,0.04253716622132955,0.961507402422611,0.0,0.0,0.49090909090909085,0.0
31,서귀포시,중문동,0.2665149024429455,0.18853002887219122,0.3962314939434724,0.16697151816043898,0.17500000000000002,0.27636363636363637,1.4696115797826845
32,서귀포시,대정읍,0.2403153367343011,0.3968581317360974,0.07886944818304172,0.20207734517899137,0.225,0.41454545454545455,1.5576657163778862
33,서귀포시,대륜동,0.20430091092498626,0.24733246059214892,0.35693135935397036,0.7229161222889992,0.05,0.26181818181818184,1.8432990349782865
34,서귀포시,송산동,0.19758643371622525,0.04811434105051737,0.1477792732166891,0.9999999999999999,0.0,0.5709090909090909,0.0
35,서귀포시,남원읍,0.19552413471938243,0.3143123576565106,0.1456258411843876,0.27856284295793043,0.15000000000000002,0.56,1.6440251765182112
36,서귀포시,동홍동,0.16360921099208478,0.39949428832738554,0.0,0.35881630519989544,0.225,0.17818181818181822,1.325101622701184
37,서귀포시,천지동,0.15864946634392948,0.03287125871993975,0.10767160161507401,0.03932061667102168,0.05,0.5054545454545455,0.8939674888045104
38,서귀포시,중앙동,0.15864946634392948,0.029463981493104745,0.10767160161507401,0.017204076299973867,0.2,0.5672727272727273,1.0802618530248096
39,서귀포시,정방동,0.15864946634392948,0.009432778006922153,0.10767160161507401,0.028596812124379405,0.1,0.5490909090909091,0.9534415671812142
40,서귀포시,대천동,0.10723917045369635,0.22018184100568478,0.22934051144010764,0.21165403710478178,0.125,0.17818181818181822,1.0715973781860888
41,서귀포시,효돈동,0.09028924075998723,0.0658142495920234,0.013458950201884251,0.4239169061928403,0.025,0.5527272727272727,0.0
42,서귀포시,영천동,0.04217405694092536,0.06502519591844054,0.18304172274562583,0.0,0.0,0.56,0.0
