사업장명,도로명전체주소,X,Y
한림약국,제주특별자치도 제주시 한림읍 한림로 679,126.264925102571,33.415492274444
시원한약국,"제주특별자치도 제주시 화삼북로 68, 삼화지구 신형빌딩 1층 102호 (도련일동)",126.580288525295,33.5170666641725
장수약국,제주특별자치도 제주시 한경면 고산로 16,126.179780740401,33.302409591532
신산약국,"제주특별자치도 제주시 성지로 76-1 (일도이동,1층)",126.531362263895,33.5115250525451
영신온누리약국,제주특별자치도 제주시 서문로 68 (용담일동),126.518385714275,33.5117397203378
365약국,제주특별자치도 제주시 서해안로 161 (도두일동),126.466051763303,33.5040159739566
태평양약국,"제주특별자치도 제주시 연동7길 30, 1층 (연동)",126.490528109697,33.4872302576653
영재약국,제주특별자치도 제주시 조천읍 신북로 510-1,126.66441730071,33.5421128303994
제주예스약국,"제주특별자치도 제주시 억삼길 35-57, 가동 1층 3호 (이호이동)",126.471259738003,33.4917415285373
제주튼튼한약국,"제주특별자치도 제주시 중앙로 371, 1층 (이도이동)",126.539431766652,33.4891743543604
봄날온누리약국,"제주특별자치도 제주시 조천읍 신북로 46, 1층",126.619214304059,33.532867261547
번영약국,"제주특별자치도 제주시 번영로 500, 1층 (봉개동)",126.594819609272,33.490149872474
설약국,"제주특별자치도 제주시 건주로 31, 한라신협 삼화지점 1층 (도련일동)",126.580982878284,33.5167785217559
세원약국,"제주특별자치도 제주시 월랑로 5, 1층 (노형동)",126.478263449417,33.4866900263728
에이스팜플러스약국,제주특별자치도 제주시 신대로14길 56 (연동),126.490481235438,33.487995336379
수정약국,제주특별자치도 서귀포시 태평로 424 (서귀동),126.565565546697,33.2451357035715
서울약국,제주특별자치도 서귀포시 중정로 71 (서귀동),126.564015682772,33.2481821202082
우리약국,제주특별자치도 서귀포시 일주동로 8538(동홍동),126.576054688698,33.2550355600957
서귀포약국,제주특별자치도 서귀포시 중앙로 89 (서귀동),126.56042567209,33.2525963969071
상아약국,제주특별자치도 제주시 흥운길 6 (용담이동),126.511053843623,33.5096992819115
대정약국,제주특별자치도 제주시 과원북4길 35 (노형동),126.486371601557,33.4812622296803
새봄약국,"제주특별자치도 제주시 1100로 3333, B호 (노형동)",126.480144305382,33.4836219692901
신행복약국,"제주특별자치도 제주시 노형8길 2 (노형동, 지하1층)",126.477346169156,33.4843262448719
수성약국,제주특별자치도 제주시 서광로 173 (용담일동),126.514947797042,33.5002443677642
오즈약국,제주특별자치도 제주시 서광로 220 (삼도일동),126.52008091726,33.4995658930419
미래약국,제주특별자치도 제주시 서광로 215 (삼도일동),126.519524370686,33.5001243460011
한라산약국,제주특별자치도 제주시 성신로 13-4 (연동),126.485210416351,33.4909836070888
보람약국,제주특별자치도 제주시 고마로 53 (일도이동),126.53970403748,33.509500248517
더블유스토어 이도약국,제주특별자치도 제주시 중앙로 366 (이도이동),126.538473449487,33.4892179424257
송약국,제주특별자치도 제주시 애월읍 하귀로 77,126.405012921092,33.4817561259736
태안약국,제주특별자치도 제주시 한림읍 한림중앙로 29,126.265191013939,33.4121682539585
대학약국,제주특별자치도 제주시  중앙로  611 (아라일동),126.547362090731,33.4696720226435
동우약국,"제주특별자치도 제주시 중앙로15길 2 (이도일동,1층)",126.524281501044,33.5105300265808
나라약국,제주특별자치도 제주시 조천읍 신북로  523,126.665971016422,33.5420394042026
제주토마토약국,"제주특별자치도 제주시 도령로 73, 1층 101호 (연동, 연동 펠리체)",126.485948322561,33.4901161837273
신진팜약국,"제주특별자치도 제주시 연북로 34, 1층 (노형동)",126.484952001108,33.4816683662675
영제약국,"제주특별자치도 제주시 노형8길 3, 1층 (노형동)",126.477797252714,33.4844444517438
정성약국,제주특별자치도 제주시 관덕로 66 (일도일동),126.526286786596,33.5128681419798
삼성약국,"제주특별자치도 제주시 월랑로 1 (노형동,1층)",126.478567739143,33.4863844954209
건강한약국,제주특별자치도 제주시 서사로 155 (삼도일동),126.520043633981,33.4984631916553
현대약국,제주특별자치도 제주시 중앙로 77 (이도일동),126.524560673505,33.5112411910527
무지개약국,"제주특별자치도 제주시 화삼로1길 14, 1층 (화북일동)",126.575260663273,33.5147429829224
외도약국,"제주특별자치도 제주시 우정로 70, 1층 (외도일동)",126.430634004825,33.4866169440338
부원약국,"제주특별자치도 제주시 우정로8길 2, 1층 (외도일동)",126.430679405636,33.4893639324779
열방약국,제주특별자치도 서귀포시 일주동로 8673 (서귀동),126.561825917453,33.2530375468745
탐라약국,제주특별자치도 서귀포시 신서로48번길 31 (강정동),126.508636272298,33.2535774663368
동의당약국,제주특별자치도 서귀포시 이중섭로 1 (서귀동),126.564291924136,33.2479152138296
율약국,제주특별자치도 서귀포시 중문로 1 (중문동),126.422993539855,33.2520022255776
태양약국,제주특별자치도 서귀포시 성산읍 고성오조로  67,126.914591544548,33.4495805003363
다온약국,"제주특별자치도 서귀포시 중문로 7 (중문동, 다온아파트)",126.423027950794,33.2526933883842
신세계온누리약국,"제주특별자치도 서귀포시 월드컵로 8, 104호 (강정동, 홍은프라자)",126.507323170982,33.2489939885441
늘푸른약국,"제주특별자치도 서귀포시 중정로 50 (서귀동, 늘푸른약국)",126.561678459094,33.2473868717569
소아약국,제주특별자치도 서귀포시 표선면 표선중앙로 84 (소아약국),126.832863900483,33.3258348751557
동문약국,"제주특별자치도 서귀포시 중정로 109, 102호 (서귀동)",126.568157487976,33.2488319496571
동원약국,제주특별자치도 서귀포시 남원읍 태위로 634 ((남원읍)),126.714340155089,33.2776729568467
표선한사랑약국,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,126.832438324988,33.3260292338741
현강약국,제주특별자치도 서귀포시 동문로 5 (서귀동),126.562068685543,33.2523432454262
온세상건강약국,제주특별자치도 서귀포시 표선면 표선동서로 225 (표선의원),126.831621729203,33.3242518318003
은혜약국,제주특별자치도 서귀포시 표선면 표선관정로 97 (서울약국),126.830856774379,33.3243350949031
대정온누리약국,"제주특별자치도 서귀포시 대정읍 하모중앙로 76, 1층 3호",126.251812065618,33.2213903495082
대정송약국,"제주특별자치도 서귀포시 대정읍 하모상가로 46, 1층 (경원빌딩)",126.253697691239,33.2216021034565
봄봄약국,제주특별자치도 서귀포시 대청로25번길 4 (강정동),126.502693911398,33.252832994618
천제연약국,제주특별자치도 서귀포시 천제연로 174 (중문동),126.423226092273,33.2517062198499
동홍약국,제주특별자치도 서귀포시 동홍중앙로 49 (동홍동),126.57183575331,33.2550558185613
정문약국,"제주특별자치도 서귀포시 일주동로 8648-12 (동홍동, 정문약국)",126.564426732747,33.2545705278586
한양약국,제주특별자치도 서귀포시 안덕면 화순로 110,126.334628962566,33.246597621688
부부약국,제주특별자치도 서귀포시 일주동로 8640 (동홍동),126.56530278005,33.2542791209266
중앙약국,제주특별자치도 서귀포시 중정로 65 (서귀동),126.563296311524,33.2480515648089
한마음약국,제주특별자치도 서귀포시 천제연로 210-1 (중문동),126.427035601764,33.2514862520162
중문약국,제주특별자치도 서귀포시 천제연로 200 (중문동),126.426068071833,33.2515079376742
삼일약국,제주특별자치도 서귀포시 중앙로 37 (서귀동),126.561587313729,33.2479974051684
종로약국,"제주특별자치도 서귀포시 중앙로42번길 8, 강원청과 (서귀동)",126.562702400565,33.2482836314201
은성약국,제주특별자치도 서귀포시 중앙로42번길 46 (서귀동),126.566332353578,33.2493234792876
국민약국,제주특별자치도 서귀포시 천제연로208번길 2 (중문동),126.426777003161,33.2514838882164
신세계약국,제주특별자치도 서귀포시 태평로 505 (동홍동),126.571403032281,33.2503361869915
삼성약국,제주특별자치도 서귀포시 대정읍 상모로 321 (모슬포약국),126.25515412926,33.2223208524863
동남온누리약국,"제주특별자치도 서귀포시 성산읍 일출로 4, 케이빌딩",126.913295187203,33.4471015213541
고은약국,제주특별자치도 서귀포시 남원읍 태위로 691,126.720287003432,33.2796337348585
한빛약국,제주특별자치도 서귀포시 장수로 36 (동홍동),126.564245533587,33.2564622330675
시계탑약국,제주특별자치도 서귀포시 대정읍 하모이삼로 34-4 (시계탑약국),126.251209467497,33.2233238414519
민제약국,제주특별자치도 서귀포시 중정로 66-2 (서귀동),126.563535837662,33.2477884082003
광진당약국,제주특별자치도 서귀포시 중정로 68 (서귀동),126.563616322029,33.2478088871494
정화약국,제주특별자치도 서귀포시 중문상로 36 (중문동),126.425454724505,33.2514378445328
화순약국,제주특별자치도 서귀포시 안덕면 화순로 113,126.334180284077,33.2463068834185
흙 한약국,"제주특별자치도 서귀포시 대정읍 상모대서로20번길 17, 2층",126.25851816023,33.2253224046196
프라자약국,제주특별자치도 서귀포시 대정읍 신영로 109,126.253935920973,33.2218064855758
정약국,제주특별자치도 서귀포시 하신상로 32 (하효동),126.617710314541,33.2634809273589
위미약국,제주특별자치도 서귀포시 남원읍 태위로 127 (위미약국),126.661077147004,33.2750026890019
조광약국,제주특별자치도 서귀포시 남원읍 태위로 633,126.71437155289,33.2781178943366
메디팜현대약국,제주특별자치도 서귀포시 대정읍 하모상가로 27,126.251706686481,33.2216721913996
스마트약국,"제주특별자치도 제주시 연북로 1, 롯데마트 1층 (노형동)",126.481834000763,33.4824421892687
봄날약국,"서울특별시 노원구 마들로 31, 제주상가동 110호 (월계동, 그랑빌아파트)",127.067083001547,37.6187241122945
건강약국,제주특별자치도 제주시 구좌읍 세화12길 1,126.85927280891,33.5208359636264
도담약국,"제주특별자치도 제주시 아란9길 6, 1층 (아라일동)",126.5450357982,33.4726016319767
한일온누리약국,"제주특별자치도 제주시 평전1길 20, 1층 (삼도일동)",126.517136710182,33.5005900226372
마음약국,"제주특별자치도 제주시 도령로 73, 103호 (연동, 연동 펠리체)",126.485948322561,33.4901161837273
희망약국,"제주특별자치도 제주시 연북로 76, 한성빌딩 1층 (연동)",126.489399163279,33.4815487337564
힘찬약국,"제주특별자치도 제주시 인다10길 35, 1층 (아라일동)",126.549398263308,33.4746302028058
새중앙약국,"제주특별자치도 제주시 중앙로 61, 1층 (이도일동)",126.52480539172,33.5126642987908
행복나눔약국,제주특별자치도 제주시 월랑로 59 (노형동),126.474199468505,33.4902322419752
인제약국,제주특별자치도 제주시 동광로 108-1 (일도이동),126.539148588153,33.5060460786907
화신온누리약국,제주특별자치도 제주시 동광로 129 (일도이동),126.540376062933,33.5078710428623
힐링약국,"제주특별자치도 제주시 서광로 278, 1층 101호 (이도이동, 줌타워)",126.526212033291,33.4999816815601
햇님온누리약국,"제주특별자치도 제주시 중앙로 560, 1층 (아라일동)",126.545316121542,33.4736791675227
사랑약국,제주특별자치도 제주시 중앙로 286 (이도이동),126.532961293435,33.4947573297223
매일약국,제주특별자치도 제주시 노연로 29 (노형동),126.483241294872,33.4862509810967
영주약국,제주특별자치도 제주시  연신로  46 (이도이동),126.546270581436,33.4969993645896
성종약국,제주특별자치도 제주시 서광로 267 (삼도일동),126.524944772172,33.5002353157767
New제주약국,제주특별자치도 제주시 연동8길 8 (연동),126.490514238975,33.4851337279057
올리브약국,제주특별자치도 제주시 동광로 133 (일도이동),126.540781688451,33.5080772083926
조일약국,제주특별자치도 제주시 관덕로 63 (일도일동),126.526081549986,33.5132798345909
동현약국,"제주특별자치도 제주시 삼봉로 327, A동 102호 (봉개동, 봉개 미소담)",126.594219147406,33.4940793199306
하귀하나로약국,제주특별자치도 제주시 애월읍 일주서로 7136,126.412159214346,33.4850611892862
인화온누리약국,제주특별자치도 제주시 동광로 110 (일도이동),126.539246511365,33.5061298401656
숲약국,"제주특별자치도 제주시 1100로 3213-27, 지하2층 202호 (노형동, 천마에코피아2차)",126.481505787404,33.4760038041208
민생약국,제주특별자치도 서귀포시 남원읍 태위로 687,126.719861711025,33.2794969012231
새한약국,제주특별자치도 서귀포시 성산읍 성산중앙로 39,126.933308138528,33.4633253108461
남원약국,제주특별자치도 서귀포시 남원읍 태위로 667,126.717898903729,33.2789329096386
제주사랑약국,제주특별자치도 서귀포시 성산읍 고성오조로 74,126.914951841146,33.4502517271223
최고약국,제주특별자치도 서귀포시 일주동로 8696 (서홍동),126.559359771186,33.2531057421979
삼양온누리약국,"제주특별자치도 제주시 일주동로 393, 1층 (삼양이동)",126.58696097496,33.521537909651
조약국,제주특별자치도 서귀포시 중앙로 108 (동홍동),126.561131164925,33.2542217317913
참약국,"제주특별자치도 제주시 서광로 294, 1층 (이도이동)",126.527884346517,33.5002042667494
동백약국,"제주특별자치도 제주시 애월읍 하귀9길 1, 1층 103호",126.414969308735,33.4867393589107
오름약국,"제주특별자치도 서귀포시 중정로 70, 1층 (서귀동)",126.563831943749,33.24777808645
가까운약국,"제주특별자치도 제주시 원노형남1길 11, 1층 106호 (노형동)",126.481741909052,33.4842475132455
봄여울약국,"제주특별자치도 제주시 신설로7길 57, 제이힐링센터 지하 1층 (이도이동)",126.54722579155,33.4956872529164
달래약국,"제주특별자치도 제주시 한림읍 한림중앙로 71, 1층",126.266712248867,33.4087215576125
한그루약국,"제주특별자치도 제주시 한림읍 한림상로 116, 103호",126.265486208907,33.4099219825896
마트존약국,제주특별자치도 제주시 1100로 3324(노형동),126.481205117721,33.4830200035135
새힘약국,"제주특별자치도 제주시 서광로 262, 1층 (삼도일동)",126.524506360365,33.4996621148119
예사랑약국,"제주특별자치도 제주시 노형11길 25, 1층 (노형동)",126.477721185489,33.4827946685932
초록약국,"제주특별자치도 제주시 수덕로 6, 1층 (노형동)",126.475307220929,33.4886649230919
더나은약국,"제주특별자치도 제주시 승천로 75, 1층 (아라이동)",126.543176897454,33.4922384009257
밝은 온누리약국,제주특별자치도 서귀포시 일주동로 8648-3 (동홍동),126.564126630085,33.2542140539533
우리들약국,제주특별자치도 제주시 우정로 56 (외도일동),126.430731090549,33.4879769858243
한결약국,제주특별자치도 제주시 신성로 78 (도남동),126.527805588365,33.4954440983053
새현대약국,"제주특별자치도 서귀포시 중앙로 35-1, 현대약국 (서귀동)",126.56161861637,33.2477455999516
알로하약국,"제주특별자치도 제주시 우정로15길 1, 1층 106호 (외도일동, 대원상록수11차아파트)",126.431233598343,33.4861306755197
참사랑약국,"제주특별자치도 제주시 동문로 70 (일도이동, 화인퍼스트빌 9차)",126.534032832603,33.5132590581554
금강한약국,"제주특별자치도 서귀포시 신서로 69 (강정동, 강정지예타운)",126.505299797753,33.2564793775915
조은약국,제주특별자치도 제주시 동문로20길 1 (일도이동),126.53663219695,33.5136308871107
써니약국,"제주특별자치도 제주시 첨단로 217, 1층 (영평동)",126.571666714166,33.4529590538781
단단약국,"제주특별자치도 제주시 서광로 272, 1층 (도남동)",126.525426431214,33.4997867260762
터미널약국,"제주특별자치도 제주시 임항로 111, 제주항연안여객터미널 1층 (건입동)",126.534226176207,33.5200407358063
밝은사랑약국,"제주특별자치도 제주시 노형로 407, 노형타워 1층 106호 (노형동)",126.478301044424,33.485821410903
