학교,자치구,남녀공학구분,주소,X,Y
제주대학교사범대학부설고등학교,제주시,남여공학,제주특별자치도 제주시 용담로 65,126.5102401196,33.5137606145563
대정고등학교,서귀포시,남,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,126.259500374588,33.2319799989913
대정여자고등학교,서귀포시,여,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,126.253314209595,33.2291887736802
서귀포고등학교,서귀포시,남,제주특별자치도 서귀포시 중앙로 140,126.563108014727,33.2570172520025
서귀포산업과학고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 516로 501,126.594767157466,33.2976458557396
서귀포여자고등학교,서귀포시,여,제주특별자치도 서귀포시 태평로 80,126.530797586105,33.2434957468657
성산고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 한도로 79-17,126.91516666622,33.4702032373211
세화고등학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 세종로 26,126.862739001471,33.516197330754
애월고등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 일주서로 6372-20,126.333396217069,33.4602188962729
제주고등학교,제주시,남여공학,제주특별자치도 제주시 1100로 3213,126.481670922303,33.4723734166954
제주과학고등학교,제주시,남여공학,제주특별자치도 제주시 산록북로 421-1,126.531444515992,33.4266199894809
제주여자상업고등학교,제주시,여,제주특별자치도 제주시 동문로 89-1,126.536352998468,33.514660180355
제주외국어고등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 고성남길 34,126.425979138844,33.4339757479804
제주제일고등학교,제주시,남,제주특별자치도 제주시 진군길 22,126.480705328028,33.4800295820408
제주중앙여자고등학교,제주시,여,제주특별자치도 제주시 구남동5길 11,126.53948600477,33.4913075478492
중문고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 일주서로570번길 19,126.446894881355,33.254864833938
표선고등학교,서귀포시,남여공학,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,126.826996013609,33.3311572650654
한국뷰티고등학교,제주시,남여공학,제주특별자치도 제주시 한경면 용고로 70,126.181867967975,33.3000775772714
한림고등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 월계로 74,126.258319827377,33.3977513606307
한림공업고등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 한림중앙로 87,126.26991230369,33.4065260376529
함덕고등학교,제주시,남여공학,제주특별자치도 제주시 조천읍 신흥로 9,126.651437272661,33.5445837587304
남녕고등학교,제주시,남여공학,제주특별자치도 제주시 도령로 55,126.481980723796,33.4900568362415
남주고등학교,서귀포시,남,제주특별자치도 서귀포시 동홍로303번길 14,126.564967701836,33.2765216557037
대기고등학교,제주시,남,제주특별자치도 제주시 번영로 453-6,126.593279426577,33.4925098054592
삼성여자고등학교,서귀포시,여,제주특별자치도 서귀포시 검은여로 151,126.583574399057,33.2543570651358
신성여자고등학교,제주시,여,제주특별자치도 제주시 아봉로 174-1,126.564572389231,33.4770042476752
영주고등학교,제주시,남여공학,제주특별자치도 제주시 첨단동길 92,126.579764162228,33.4547867199073
오현고등학교,제주시,남,제주특별자치도 제주시 일주동로 101,126.556448684201,33.5178018797061
제주여자고등학교,제주시,여,제주특별자치도 제주시 구산로 50,126.539762116082,33.4833336972294
제주중앙고등학교,제주시,남여공학,제주특별자치도 제주시 아봉로 323,126.57337322333,33.474169844483
서귀포온성학교,서귀포시,남여공학,제주특별자치도 서귀포시 516로 447-10,126.593017440108,33.2910491675254
제주영지학교,제주시,남여공학,제주특별자치도 제주시 간월동로3길 15,126.542740133328,33.4888385903069
제주영송학교,제주시,남여공학,제주특별자치도 제주시 애월읍 광령중길 126-3,126.434264919684,33.450072137168
고산초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한경면 고산로1길 16,126.176873487421,33.3045269693064
광령초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 광성로 276,126.436228652961,33.4592578632562
광양초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 돈내길 5,126.530197075238,33.5025409686969
구엄초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 일주서로 6768,126.375276652581,33.4735582732787
구좌중앙초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 월정7길 1,126.798100461909,33.5520870826366
귀덕초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한림읍 귀덕14길 14-5,126.293160783073,33.4418366695746
김녕초등학교병설동복분교장유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 동복로 66-5,126.713573546374,33.5524032842156
김녕초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 김녕로 117,126.749913470006,33.5548825125688
납읍초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 납읍로2길 47,126.330648600081,33.435435585242
노형초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 노형로 383,126.476560614931,33.4848808345142
대흘초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 조천읍 중산간동로 677,126.657771861959,33.49959967298
도남초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 도남로8길 22,126.526162519685,33.4931686966629
도련초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 화삼로 104,126.58398709204,33.5137915724806
도리초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 도리로 129,126.465495946506,33.5018561661337
도평초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 도평길 17,126.446773582461,33.4808292568643
동광초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 태성로 6,126.547315557269,33.5017001277327
동화초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 동화로1길 44,126.575748167203,33.5185292673148
물메초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 엄수로 202-4,126.390816070165,33.4665100939688
백록초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 정존5길 62,126.470226694022,33.4871007760804
봉개초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 번영로 484,126.594022445867,33.4900889301703
북촌초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 조천읍 일주동로 1481,126.691362701874,33.5479352638407
삼성초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 서광로29길 35,126.524883244519,33.5034605250054
삼양초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 지석14길 7,126.585890587592,33.5208591334462
삼화초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 화삼북로 2길 27,126.577005000044,33.5152240907166
세화초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 구좌로 65,126.858920107903,33.5227326193265
송당초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,126.781114387981,33.4709012217019
수원초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한림읍 한림로 822,126.270099813344,33.426093034032
신광초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 성신로 25,126.483668473067,33.4920685681146
신창초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한경면 두신로 72,126.185193292735,33.3489822935879
신촌초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 조천읍 신북로 51,126.619515273049,33.5344733804202
아라초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 중앙로 518,126.543739799519,33.4772547878066
애월초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 애월로 139-10,126.322406121765,33.4654894858342
어도초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 봉성로 76,126.313139151831,33.4201929681552
영평초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 아봉로 225,126.567487470079,33.4787117114451
오라초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 연사길 48,126.513852941123,33.4892655336585
외도초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 일주서로 7368,126.434698817593,33.4924657656143
우도초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 우도면 우도로 156-11,126.955432505029,33.505148236498
월랑초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 남녕로 63,126.478442782484,33.4931213801602
이도초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구남동2길 58,126.532134406124,33.4878986712307
인화초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 신산로15길 35,126.537769007491,33.5069912171985
일도초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 삼성로9길 27,126.529415686062,33.5090782389327
장전초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 장전로 122,126.390737433666,33.4493943663467
재릉초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한림읍 한림로 288-18,126.238372248669,33.3886690116386
저청초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한경면 중산간서로 3591,126.25121356586,33.326273329466
제주남초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 남성로 149,126.52129649676,33.5099522391838
제주동초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 동문로 65,126.534172230344,33.5139592167989
제주북초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 중앙로8길 18,126.521383690283,33.5149928260172
제주서초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 성화로6길 51,126.509683151019,33.5114851433377
제주중앙초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 서사로18길 40,126.5150136027,33.502511947638
조천초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 조천읍 신북로 195,126.634349922865,33.535654255165
종달초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 종달로7길 5,126.897223171765,33.4927717471951
추자초등학교병설신양분교장유치원,제주시,남여공학,제주특별자치도 제주시 추자면 추자로 553-10,126.32520916346,33.9446488872604
추자초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 추자면 대서3길 10,126.29629617008,33.9643413785399
평대초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 일주동로 2979,126.840142022269,33.5295991982622
하귀일초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 하귀9길 42,126.415179687788,33.4839019724538
하귀초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 하귀로 44,126.401889287694,33.4797726540537
하도초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 일주동로 3378,126.877557011952,33.5174799736993
한동초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 구좌읍 일주동로 2831,126.829008412958,33.5391296339609
한림초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 한림읍 한림로4길 16,126.260231892003,33.4110704009933
한천초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 남성로11길 22,126.512797204966,33.5073335250861
함덕초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 조천읍 일주동로 1231,126.671650371158,33.5386843502793
화북초등학교병설유치원,제주시,남여공학,제주특별자치도 제주시 일주동로 157,126.561392726619,33.5186245151971
금호유치원,제주시,남여공학,제주특별자치도 제주시 진군남2길 18,126.477139550621,33.4749118453181
동원유치원,제주시,남여공학,제주특별자치도 제주시 황새왓길 20,126.550967219584,33.4979916375082
마야유치원,제주시,남여공학,제주특별자치도 제주시 거로남6길 48,126.564754762895,33.5078861487531
새순유치원,제주시,남여공학,제주특별자치도 제주시 수덕로 66,126.470424775766,33.4852280259405
연동유치원,제주시,남여공학,제주특별자치도 제주시 제원3길 3,126.488800264479,33.4872885979269
전원유치원,제주시,남여공학,제주특별자치도 제주시 구남동8길 1-6,126.539277628843,33.4875585746531
제주YMCA유치원,제주시,남여공학,제주특별자치도 제주시 관덕로2길 1,126.520419155706,33.5125597614471
제주관광대학교부속유치원,제주시,남여공학,제주특별자치도 제주시 애월읍 평화로 2755-1,126.435294395685,33.4511205155229
제주까리따스유치원,제주시,남여공학,제주특별자치도 제주시 인다10길 19,126.547923543912,33.4748918859791
제주엔젤유치원,제주시,남여공학,제주특별자치도 제주시 월평9길 2-8,126.581043479474,33.4713106203589
제주영락유치원,제주시,남여공학,제주특별자치도 제주시 동광로23길 15,126.54295700077,33.5113541535106
제주중앙유치원,제주시,남여공학,제주특별자치도 제주시 고마로7길 11,126.539815878673,33.5118352448101
제주충신유치원,제주시,남여공학,제주특별자치도 제주시 연화로2길 17-6,126.489284087134,33.4780203253166
한라유치원,제주시,남여공학,제주특별자치도 제주시 국기로2길 18,126.491718284526,33.4798949171011
한림성모유치원,제주시,남여공학,제주특별자치도 제주시 한림읍 한수풀로 28-4,126.266242625752,33.417319657712
제주대학교교육대학부설초등학교,제주시,남여공학,제주특별자치도 제주시 일주동로 61,126.552213402246,33.5139311672039
고산초등학교,제주시,남여공학,제주특별자치도 제주시 한경면 고산로1길 16,126.176873487421,33.3045269693064
곽금초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 일주서로 6000,126.307166220084,33.4471274199326
광령초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 광성로 276,126.436228652961,33.4592578632562
광양초등학교,제주시,남여공학,제주특별자치도 제주시 돈내길 5,126.530197075238,33.5025409686969
구엄초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 일주서로 6768,126.375276652581,33.4735582732787
구좌중앙초등학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 월정7길 1,126.798100461909,33.5520870826366
귀덕초등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 귀덕14길 14-5,126.293160783073,33.4418366695746
금악초등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 금악남2길 1,126.296355632695,33.356645461697
김녕초등학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 김녕로 117,126.749913470006,33.5548825125688
김녕초등학교동복분교장,제주시,남여공학,제주특별자치도 제주시 구좌읍 동복로 66-5,126.713573546374,33.5524032842156
남광초등학교,제주시,남여공학,제주특별자치도 제주시 남광로 28,126.539530713098,33.4931475970026
납읍초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 납읍로2길 47,126.330648600081,33.435435585242
노형초등학교,제주시,남여공학,제주특별자치도 제주시 노형로 383,126.476560614931,33.4848808345142
대흘초등학교,제주시,남여공학,제주특별자치도 제주시 조천읍 중산간동로 677,126.657771861959,33.49959967298
더럭초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 하가로 195,126.345171297868,33.4535949380337
도남초등학교,제주시,남여공학,제주특별자치도 제주시 도남로8길 22,126.526162519685,33.4931686966629
도련초등학교,제주시,남여공학,제주특별자치도 제주시 화삼로 104,126.58398709204,33.5137915724806
도리초등학교,제주시,남여공학,제주특별자치도 제주시 도리로 129,126.465495946506,33.5018561661337
도평초등학교,제주시,남여공학,제주특별자치도 제주시 도평길 17,126.446773582461,33.4808292568643
동광초등학교,제주시,남여공학,제주특별자치도 제주시 태성로 6,126.547315557269,33.5017001277327
동화초등학교,제주시,남여공학,제주특별자치도 제주시 동화로1길 44,126.575748167203,33.5185292673148
물메초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 엄수로 202-4,126.390816070165,33.4665100939688
백록초등학교,제주시,남여공학,제주특별자치도 제주시 정존5길 62,126.470226694022,33.4871007760804
봉개초등학교,제주시,남여공학,제주특별자치도 제주시 번영로 484,126.594022445867,33.4900889301703
북촌초등학교,제주시,남여공학,제주특별자치도 제주시 조천읍 일주동로 1481,126.691362701874,33.5479352638407
삼성초등학교,제주시,남여공학,제주특별자치도 제주시 서광로29길 35,126.524883244519,33.5034605250054
삼양초등학교,제주시,남여공학,제주특별자치도 제주시 지석14길 7,126.585890587592,33.5208591334462
삼화초등학교,제주시,남여공학,제주특별자치도 제주시 화삼북로2길 27,126.577005000044,33.5152240907166
세화초등학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 구좌로 65,126.858920107903,33.5227326193265
송당초등학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,126.781114387981,33.4709012217019
수원초등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 한림로 822,126.270099813344,33.426093034032
신광초등학교,제주시,남여공학,제주특별자치도 제주시 성신로 25,126.483668473067,33.4920685681146
신제주초등학교,제주시,남여공학,제주특별자치도 제주시 비월길 29,126.497812532662,33.4829666047932
신창초등학교,제주시,남여공학,제주특별자치도 제주시 한경면 두신로 72,126.185193292735,33.3489822935879
신촌초등학교,제주시,남여공학,제주특별자치도 제주시 조천읍 신북로 51,126.619515273049,33.5344733804202
아라초등학교,제주시,남여공학,제주특별자치도 제주시 중앙로 518,126.543739799519,33.4772547878066
애월초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 애월로 139-10,126.322406121765,33.4654894858342
어도초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 봉성로 76,126.313139151831,33.4201929681552
영평초등학교,제주시,남여공학,제주특별자치도 제주시 아봉로 225,126.567487470079,33.4787117114451
오라초등학교,제주시,남여공학,제주특별자치도 제주시 연사길 48,126.513852941123,33.4892655336585
외도초등학교,제주시,남여공학,제주특별자치도 제주시 일주서로 7368,126.434698817593,33.4924657656143
우도초등학교,제주시,남여공학,제주특별자치도 제주시 우도면 우도로 156-11,126.955432505029,33.505148236498
월랑초등학교,제주시,남여공학,제주특별자치도 제주시 남녕로 63,126.478442782484,33.4931213801602
이도초등학교,제주시,남여공학,제주특별자치도 제주시 구남동2길 58,126.532134406124,33.4878986712307
인화초등학교,제주시,남여공학,제주특별자치도 제주시 신산로15길 35,126.537769007491,33.5069912171985
일도초등학교,제주시,남여공학,제주특별자치도 제주시 삼성로9길 27,126.529415686062,33.5090782389327
장전초등학교,제주시,남여공학,제주특별자치도 제주시 애월읍 장전로 122,126.390737433666,33.4493943663467
재릉초등학교,제주시,남여공학,제주특별자치도 제주시 한림읍 한림로 288-18,126.238372248669,33.3886690116386
저청초등학교,제주시,남여공학,제주특별자치도 제주시 한경면 중산간서로 3591,126.25121356586,33.326273329466
