학교급,설립구분,학교,자치구,남녀공학구분,개교일자,우편번호,주소,전화번호,팩스번호,홈페이지
초등학교,공립,저청초등학교,제주시,남여공학,19500601,63006,제주특별자치도 제주시 한경면 중산간서로 3591,647981600,647981649,http://jeocheong.jje.es.kr
초등학교,공립,제주남초등학교,제주시,남여공학,19460123,63169,제주특별자치도 제주시 남성로 149,647293700,647293709,http://jejunam.jje.es.kr
초등학교,공립,제주동초등학교,제주시,남여공학,19430517,63279,제주특별자치도 제주시 동문로 65,647540505,647573115,http://jejudong.jje.es.kr
초등학교,공립,제주북초등학교,제주시,남여공학,19070519,63166,제주특별자치도 제주시 중앙로8길 18,647173300,647173399,http://jejubuk.jje.es.kr
초등학교,공립,제주서초등학교,제주시,남여공학,19540401,63156,제주특별자치도 제주시 성화로6길 51,647207300,647115933,http://jeju-seo.jje.es.kr
초등학교,공립,제주중앙초등학교,제주시,남여공학,19770502,63175,제주특별자치도 제주시 서사로18길 40,647293800,647293838,http://jejujungang.jje.es.kr
초등학교,공립,조천초등학교,제주시,남여공학,19221101,63331,제주특별자치도 제주시 조천읍 신북로 195,647834702,647824702,http://jocheon.jje.es.kr
초등학교,공립,조천초등학교교래분교장,제주시,남여공학,19620228,63346,제주특별자치도 제주시 조천읍 비자림로 672,647839744,647849744,http://jocheon.jje.es.kr
초등학교,공립,종달초등학교,제주시,남여공학,19461209,63364,제주특별자치도 제주시 구좌읍 종달로7길 5,647833689,647842441,http://jongdal.jje.es.kr
초등학교,공립,추자초등학교,제주시,남여공학,19250901,63000,제주특별자치도 제주시 추자면 대서3길 10,647428431,647423648,http://chuja.jje.es.kr
초등학교,공립,추자초등학교신양분교장,제주시,남여공학,19250630,63001,제주특별자치도 제주시 추자면 추자로 553-10,647428421,647428422,http://chuja.jje.es.kr
초등학교,공립,평대초등학교,제주시,남여공학,19451208,63360,제주특별자치도 제주시 구좌읍 일주동로 2979,647506800,647506805,http://pyungdae.jje.es.kr
초등학교,공립,하귀일초등학교,제주시,남여공학,20120301,63054,제주특별자치도 제주시 애월읍 하귀9길 42,647950800,647950899,http://hagwiil.jje.es.kr
초등학교,공립,하귀초등학교,제주시,남여공학,19400901,63051,제주특별자치도 제주시 애월읍 하귀로 44,647134005,647137655,http://hagwi.jje.es.kr
초등학교,공립,하도초등학교,제주시,남여공학,19210405,63363,제주특별자치도 제주시 구좌읍 일주동로 3378,647809671,647809666,http://hado.jje.es.kr/
초등학교,공립,한동초등학교,제주시,남여공학,19680316,63359,제주특별자치도 제주시 구좌읍 일주동로 2831,647832354,647833467,http://handong.jje.es.kr
초등학교,공립,한라초등학교,제주시,남여공학,20010302,63090,제주특별자치도 제주시 연화로 42,647409500,647409699,http://halla.jje.es.kr
초등학교,공립,한림초등학교,제주시,남여공학,19230901,63032,제주특별자치도 제주시 한림읍 한림로4길 16,647973000,647973080,http://hallim.jje.es.kr
초등학교,공립,한림초등학교비양분교장,제주시,남여공학,19530409,63033,제주특별자치도 제주시 한림읍 비양도길 270,647968479,647967816,http://hallim.jje.es.kr
초등학교,공립,한천초등학교,제주시,남여공학,19841110,63174,제주특별자치도 제주시 남성로11길 22,647507305,647507399,http://hancheon.jje.es.kr
초등학교,공립,함덕초등학교,제주시,남여공학,19370901,63333,제주특별자치도 제주시 조천읍 일주동로 1231,647804500,647804566,http://hamdeok.jje.es.kr
초등학교,공립,함덕초등학교선인분교장,제주시,남여공학,19740309,63341,제주특별자치도 제주시 조천읍 선진길 7-18,647838612,647838622,http://hamdeok.jje.es.kr
초등학교,공립,함덕초등학교선흘분교장,제주시,남여공학,19360405,63340,제주특별자치도 제주시 조천읍 선흘동1길 41,647838526,647848526,http://hamdeok.jje.es.kr
초등학교,공립,해안초등학교,제주시,남여공학,19610401,63077,제주특별자치도 제주시 해안마을길 76,647464006,647468980,http://haeahn.jje.es.kr
초등학교,공립,화북초등학교,제주시,남여공학,19260715,63293,제주특별자치도 제주시 일주동로 157,647207500,647207599,http://hwabuk.jje.es.kr
중학교,국립,제주대학교사범대학부설중학교,제주시,남여공학,19840306,63151,제주특별자치도 제주시 용담로7길 33,647546200,647546210,http://jnum.jje.ms.kr
중학교,공립,고산중학교,제주시,남여공학,19540402,63008,제주특별자치도 제주시 한경면 용고로 70,647958260,647725977,http://gosan.jje.ms.kr/
중학교,공립,김녕중학교,제주시,남여공학,19471003,63357,제주특별자치도 제주시 구좌읍 김녕로 118-20,647860800,647860808,http://gimnyeong.jje.ms.kr
중학교,공립,노형중학교,제주시,남여공학,20130305,63088,제주특별자치도 제주시 노형1길 28,647408901,647408906,http://nohyeong.jje.ms.kr
중학교,공립,세화중학교,제주시,남여공학,19511014,63361,제주특별자치도 제주시 구좌읍 일주동로 3132,647865700,647865799,http://sehwa.jje.ms.kr
중학교,공립,신엄중학교,제주시,남여공학,19710303,63047,제주특별자치도 제주시 애월읍 일주서로 6711,647987900,647987909,http://shinum.jje.ms.kr
중학교,공립,신창중학교,제주시,남여공학,19500710,63002,제주특별자치도 제주시 한경면 두신로 72,647950700,647724739,http://sinchang.jje.ms.kr
중학교,공립,아라중학교,제주시,남여공학,19920303,63246,제주특별자치도 제주시 간월동로 30,647506700,647506799,http://ara.jje.ms.kr
중학교,공립,애월중학교,제주시,남여공학,19471015,63043,제주특별자치도 제주시 애월읍 애월로15길 8,647400700,647400799,http://aewol.jje.ms.kr
중학교,공립,오름중학교,제주시,남여공학,20150302,63323,제주특별자치도 제주시 화삼북로 110,647549400,647549439,http://oreum.jje.ms.kr
중학교,공립,우도중학교,제주시,남여공학,19540620,63365,제주특별자치도 제주시 우도면 우도로 156-11,647864500,647864599,http://udo.jje.ms.kr
중학교,공립,저청중학교,제주시,남여공학,19640310,63006,제주특별자치도 제주시 한경면 중산간서로 3590,647981600,647981699,http://jeocheong.jje.ms.kr
중학교,공립,제주동여자중학교,제주시,여,19810310,63215,제주특별자치도 제주시 천수로 24,647547900,647547999,http://hansol.jje.ms.kr
중학교,공립,제주동중학교,제주시,남여공학,19830305,63300,제주특별자치도 제주시 동화로 12-1,647410100,647410199,http://jejudong.jje.ms.kr
중학교,공립,제주서중학교,제주시,남여공학,19840323,63116,제주특별자치도 제주시 일주서로 7811,647548400,647470397,http://jejuseo.jje.ms.kr
중학교,공립,제주제일중학교,제주시,남,19070701,63224,제주특별자치도 제주시 남광로 33,647503200,647565977,http://jeil.jje.ms.kr
중학교,공립,제주중앙여자중학교,제주시,여,19660308,63178,제주특별자치도 제주시 서사로11길 8,647109700,647215766,http://jag.jje.ms.kr
중학교,공립,제주중앙중학교,제주시,남,19670309,63121,제주특별자치도 제주시 선덕로5길 37,647280800,647280890,http://jungang.jje.ms.kr
중학교,공립,조천중학교,제주시,남여공학,19501201,63337,제주특별자치도 제주시 조천읍 신북로 31,647800770,647826455,http://jocheon.jje.ms.kr
중학교,공립,추자중학교,제주시,남여공학,19510920,63001,제주특별자치도 제주시 추자면 신양3길 15,647423933,647420185,http://chuja.jje.ms.kr
중학교,공립,탐라중학교,제주시,남여공학,20110303,63229,제주특별자치도 제주시 신설로 56,647545000,647545005,http://tamna.jje.ms.kr
중학교,공립,한라중학교,제주시,남여공학,20020305,63090,제주특별자치도 제주시 과원북2길 24,647663100,647454518,http://halla.jje.ms.kr
중학교,공립,한림여자중학교,제주시,여,19640309,63032,제주특별자치도 제주시 한림읍 한림로 604,647950200,647967936,http://hallim-g.jje.ms.kr
중학교,공립,한림중학교,제주시,남,19461001,63013,제주특별자치도 제주시 한림읍 명월성로 21,647977141,647967147,http://hallim.jje.ms.kr
중학교,공립,함덕중학교,제주시,남여공학,19550427,63334,제주특별자치도 제주시 조천읍 일주동로 1234,647805800,647805899,http://hamdeok.jje.ms.kr
중학교,사립,귀일중학교,제주시,남여공학,19530317,63051,제주특별자치도 제주시 애월읍 항몽로 44,647668100,647136131,http://kwiil.jje.ms.kr
중학교,사립,신성여자중학교,제주시,여,19091018,63308,제주특별자치도 제주시 아봉로 174-5,647297400,647247138,http://shinseong.jje.ms.kr
중학교,사립,오현중학교,제주시,남,19460303,63293,제주특별자치도 제주시 일주동로 101,647559252,647559256,http://ohyun.jje.ms.kr
중학교,사립,제주여자중학교,제주시,여,19460210,63236,제주특별자치도 제주시 구산로 50,647291300,647291333,http://www.jeju-girls.ms.kr
중학교,사립,제주중학교,제주시,남,19451201,63153,제주특별자치도 제주시 서문로 47,647507000,647507001,http://jeju.jje.ms.kr
유치원,공립,가파초등학교병설유치원,서귀포시,남여공학,19951101,63514,제주특별자치도 서귀포시 대정읍 가파로67번길 45,647946711,647945764,http://gapa.jje.es.kr
유치원,공립,강정초등학교병설유치원,서귀포시,남여공학,19820305,63563,제주특별자치도 서귀포시 말질로 188,647392389,647390662,http://gangjeong.jje.es.kr
유치원,공립,대정서초등학교병설유치원,서귀포시,남여공학,19810301,63506,제주특별자치도 서귀포시 대정읍 동일하모로 43,647940850,647940780,http://djseo.jje.es.kr
유치원,공립,대정초등학교병설유치원,서귀포시,남여공학,19840315,63508,제주특별자치도 서귀포시 대정읍 상모대서로 15,647860728,647942202,http://daejung.jje.es.kr
유치원,공립,도순초등학교병설유치원,서귀포시,남여공학,20200301,63561,제주특별자치도 서귀포시 도순남로 83,647300300,647394261,http://dosun.jje.es.kr
유치원,공립,동남초등학교병설유치원,서귀포시,남여공학,19810305,63640,제주특별자치도 서귀포시 성산읍 고성오조로 55,647865800,647865899,http://dongnam.jje.es.kr
유치원,공립,무릉초등학교병설유치원,서귀포시,남여공학,19820312,63501,제주특별자치도 서귀포시 대정읍 서삼중로 106,647935360,647925303,http://murung.jje.es.kr
유치원,공립,법환초등학교병설유치원,서귀포시,남여공학,19850920,63573,제주특별자치도 서귀포시 이어도로 879,647392798,647395229,http://beophwan.jje.es.kr
유치원,공립,보목초등학교병설유치원,서귀포시,남여공학,19950315,63599,제주특별자치도 서귀포시 마소물로8번길 9,647353590,647353501,http://bomok.jje.es.kr
유치원,공립,보성초등학교병설유치원,서귀포시,남여공학,19810309,63517,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,647973382,647973399,http://jejuboseong.jje.es.kr
유치원,공립,사계초등학교병설유치원,서귀포시,남여공학,19810310,63528,제주특별자치도 서귀포시 안덕면 산방로 346,647957118,647957199,http://sagye.jje.es.kr
유치원,공립,서광초등학교병설유치원,서귀포시,남여공학,20020311,63522,제주특별자치도 서귀포시 안덕면 중산간서로 1842,647949920,647940941,http://seogwang.jje.es.kr
유치원,공립,서귀북초등학교병설유치원,서귀포시,남여공학,19840415,63584,제주특별자치도 서귀포시 중앙로 175,647600300,647600303,http://seogwibuk.jje.es.kr
유치원,공립,서귀서초등학교병설유치원,서귀포시,남여공학,20010315,63584,제주특별자치도 서귀포시 솜반천로 38,647627564,647622384,http://seoguiseo.jje.es.kr
유치원,공립,서귀중앙초등학교병설유치원,서귀포시,남여공학,19960316,63590,제주특별자치도 서귀포시 중동로8번길 8,647316270,647316279,http://seogwijoongang.jje.es.kr
유치원,공립,서귀포초등학교병설유치원,서귀포시,남여공학,20150303,63596,제주특별자치도 서귀포시 솔동산로11번길 17,647354204,644354299,http://seogwipo.jje.es.kr
유치원,공립,서호초등학교병설유치원,서귀포시,남여공학,19820310,63569,제주특별자치도 서귀포시 호근남로 40,647663571,647663599,http://seoho.jje.es.kr
유치원,공립,성산초등학교병설유치원,서귀포시,남여공학,19950313,63643,제주특별자치도 서귀포시 성산읍 한도로 217,647822014,647829014,http://jjseongsan.jje.es.kr
유치원,공립,성읍초등학교병설유치원,서귀포시,남여공학,19840320,63624,제주특별자치도 서귀포시 표선면 성읍민속로 65,647801870,647874637,http://seongeup.jje.es.kr
유치원,공립,수산초등학교병설유치원,서귀포시,남여공학,19810310,63630,제주특별자치도 서귀포시 성산읍 수시로 9,647830974,647830903,http://jjsusan.jje.es.kr
유치원,공립,시흥초등학교병설유치원,서귀포시,남여공학,19840312,63638,제주특별자치도 서귀포시 성산읍 시흥상동로 113,647827292,647821016,http://jjsiheung.jje.es.kr
유치원,공립,신례초등학교병설유치원,서귀포시,남여공학,19810310,63608,제주특별자치도 서귀포시 남원읍 중산간동로 7116,647673474,647673971,http://shinrye.jje.es.kr
유치원,공립,신산초등학교병설유치원,서귀포시,남여공학,19810310,63634,제주특별자치도 서귀포시 성산읍 일주동로 5104,647802800,647802888,http://sinsan.jje.es.kr
유치원,공립,안덕초등학교병설유치원,서귀포시,남여공학,19810310,63530,제주특별자치도 서귀포시 안덕면 화순로56번길 32,647940956,647920408,http://andeok.jje.es.kr
유치원,공립,예래초등학교병설유치원,서귀포시,남여공학,19810310,63537,제주특별자치도 서귀포시 예래로 210-14,647382589,647384240,http://yerae.jje.es.kr
유치원,공립,온평초등학교병설유치원,서귀포시,남여공학,19950318,63633,제주특별자치도 서귀포시 성산읍 일주동로 4740,647802717,647802777,http://www.onpyung.jje.es.kr
유치원,공립,위미초등학교병설유치원,서귀포시,남여공학,19810310,63611,제주특별자치도 서귀포시 남원읍 태위로 57,647600280,647600250,http://wimi.jje.es.kr
유치원,공립,의귀초등학교병설유치원,서귀포시,남여공학,19820308,63618,제주특별자치도 서귀포시 남원읍 한신로 213,647809990,647809999,http://euigwi.jje.es.kr
유치원,공립,중문초등학교병설유치원,서귀포시,남여공학,20150303,63545,제주특별자치도 서귀포시 천제연로 231,647305612,647383317,http://jungmun.jje.es.kr
유치원,공립,창천초등학교병설유치원,서귀포시,남여공학,19820308,63532,제주특별자치도 서귀포시 안덕면 창천중앙로 13,647941583,647940690,http://changcheon.jje.es.kr
유치원,공립,태흥초등학교병설유치원,서귀포시,남여공학,19810310,63617,제주특별자치도 서귀포시 남원읍 태위로 915,647645818,647640818,http://taeheung.jje.es.kr
유치원,공립,토산초등학교병설유치원,서귀포시,남여공학,19840310,63626,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,647872430,647874181,http://tosan.jje.es.kr
유치원,공립,토평초등학교병설유치원,서귀포시,남여공학,19810310,63604,제주특별자치도 서귀포시 토평남로 86,647620506,647320522,http://topyeong.jje.es.kr
유치원,공립,표선초등학교병설유치원,서귀포시,남여공학,19810310,63629,제주특별자치도 서귀포시 표선면 표선동서로 293,647874476,647873872,http://pyoseon.jje.es.kr
유치원,공립,풍천초등학교병설유치원,서귀포시,남여공학,19850923,63637,제주특별자치도 서귀포시 성산읍 풍천로 18,647865698,647865697,http://pungcheon.jje.es.kr
유치원,공립,하례초등학교병설유치원,서귀포시,남여공학,19840315,63613,제주특별자치도 서귀포시 남원읍 일주동로 8002,647605605,647605699,http://harye.jje.es.kr
유치원,공립,하원초등학교병설유치원,서귀포시,남여공학,19810305,63542,제주특별자치도 서귀포시 월평하원로 149,647381553,647381555,http://jjhawon.jje.es.kr
유치원,공립,한마음초등학교병설유치원,서귀포시,남여공학,20010302,63627,제주특별자치도 서귀포시 표선면 한마음초등로 408,647802311,647876215,http://hanmaum.jje.es.kr
유치원,공립,효돈초등학교병설유치원,서귀포시,남여공학,19800419,63606,제주특별자치도 서귀포시 효돈로 161,647670471,647671794,http://hyodon.jje.es.kr
유치원,공립,흥산초등학교병설유치원,서귀포시,남여공학,19820310,63616,제주특별자치도 서귀포시 남원읍 일주동로 6642,647302811,647302888,http://heungsan.jje.es.kr
유치원,사립,남원유치원,서귀포시,남여공학,19800328,63621,제주특별자치도 서귀포시 남원읍 남한로 27,647640040,647649940,http://www.namwoni.co.kr
유치원,사립,성모유치원,서귀포시,남여공학,19900220,63530,제주특별자치도 서귀포시 안덕면 화순중앙로12번길 1,647921004,647921034,http://www.sungmo.kidwon.com
유치원,사립,성신유치원,서귀포시,남여공학,19770501,63639,제주특별자치도 서귀포시 성산읍 고성오조로 120,647823195,647843196,http://성신.kidsnote.ac
유치원,사립,예원유치원,서귀포시,남여공학,19910617,63589,제주특별자치도 서귀포시 동홍중앙로 28,647620063,647620065,http://제주예원유치원.kr
유치원,사립,해성유치원,서귀포시,남여공학,19671013,63585,제주특별자치도 서귀포시 중앙로150번길 17,647627000,647325444,http://gotjd.kidswon.com
초등학교,공립,가마초등학교,서귀포시,남여공학,19730316,63625,제주특별자치도 서귀포시 표선면 일주동로6285번길 8,647809500,647809580,http://gama.jje.es.kr
초등학교,공립,가파초등학교,서귀포시,남여공학,19461101,63514,제주특별자치도 서귀포시 대정읍 가파로67번길 45,647947062,647945764,http://gapa.jje.es.kr
초등학교,공립,가파초등학교마라분교장,서귀포시,남여공학,19581101,63515,제주특별자치도 서귀포시 대정읍 마라로 58,647928508,647925190,http://gapa.jje.es.kr
초등학교,공립,강정초등학교,서귀포시,남여공학,19461206,63563,제주특별자치도 서귀포시 말질로 188,647390552,647390662,http://gangjeong.jje.es.kr
초등학교,공립,남원초등학교,서귀포시,남여공학,19241124,63621,제주특별자치도 서귀포시 남원읍 태위로 647,647664100,647664194,http://jjnamwon.jje.es.kr
초등학교,공립,대정서초등학교,서귀포시,남여공학,19690426,63506,제주특별자치도 서귀포시 대정읍 동일하모로 43,647940782,647940780,http://djseo.jje.es.kr
초등학교,공립,대정초등학교,서귀포시,남여공학,19081019,63508,제주특별자치도 서귀포시 대정읍 상모대서로 15,647860700,647860760,http://daejung.jje.es.kr
초등학교,공립,덕수초등학교,서귀포시,남여공학,19460915,63527,제주특별자치도 서귀포시 안덕면 덕수서로 10,647946067,647946068,http://deoksu.jje.es.kr
초등학교,공립,도순초등학교,서귀포시,남여공학,19400710,63561,제주특별자치도 서귀포시 도순남로 83,647300300,647394261,http://dosun.jje.es.kr
초등학교,공립,동남초등학교,서귀포시,남여공학,19230901,63640,제주특별자치도 서귀포시 성산읍 고성오조로 55,647865800,647865899,http://dongnam.jje.es.kr
초등학교,공립,동홍초등학교,서귀포시,남여공학,20000302,63586,제주특별자치도 서귀포시 동홍북로 17,647307500,647630434,http://donghong.jje.es.kr
초등학교,공립,무릉초등학교,서귀포시,남여공학,19400601,63501,제주특별자치도 서귀포시 대정읍 서삼중로 106,647935300,647925303,http://murung.jje.es.kr
초등학교,공립,법환초등학교,서귀포시,남여공학,19460901,63573,제주특별자치도 서귀포시 이어도로 879,647398544,647395229,http://beophwan.jje.es.kr
초등학교,공립,보목초등학교,서귀포시,남여공학,19461221,63599,제주특별자치도 서귀포시 마소물로8번길 9,647353500,647353501,http://bomok.jje.es.kr
초등학교,공립,보성초등학교,서귀포시,남여공학,19400701,63517,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,647973381,647973399,http://jejuboseong.jje.es.kr
초등학교,공립,사계초등학교,서귀포시,남여공학,19461212,63528,제주특별자치도 서귀포시 안덕면 산방로 346,647957100,647957199,http://sagye.jje.es.kr
초등학교,공립,새서귀초등학교,서귀포시,남여공학,19930306,63565,제주특별자치도 서귀포시 신서귀로76번길 6-3,647300700,647300799,http://saeseogwi.jje.es.kr
초등학교,공립,서광초등학교,서귀포시,남여공학,19461107,63522,제주특별자치도 서귀포시 안덕면 중산간서로 1842,647949901,647940941,http://seogwang.jje.es.kr
초등학교,공립,서귀북초등학교,서귀포시,남여공학,19631105,63584,제주특별자치도 서귀포시 중앙로 175,647600300,647600303,http://seogwibuk.jje.es.kr
초등학교,공립,서귀서초등학교,서귀포시,남여공학,19800319,63584,제주특별자치도 서귀포시 솜반천로 38,647627561,647622384,http://seoguiseo.jje.es.kr
초등학교,공립,서귀중앙초등학교,서귀포시,남여공학,19670302,63590,제주특별자치도 서귀포시 동문동로 54,647316200,647316299,http://seogwijoongang.jje.es.kr
초등학교,공립,서귀포초등학교,서귀포시,남여공학,19201223,63596,제주특별자치도 서귀포시 솔동산로11번길 17,647354200,647354299,http://seogwipo.jje.es.kr
초등학교,공립,서호초등학교,서귀포시,남여공학,19430515,63569,제주특별자치도 서귀포시 호근남로 40,647663500,647663599,http://seoho.jje.es.kr
초등학교,공립,성산초등학교,서귀포시,남여공학,19460222,63643,제주특별자치도 서귀포시 성산읍 한도로 217,647864000,647864019,http://jjseongsan.jje.es.kr
초등학교,공립,성읍초등학교,서귀포시,남여공학,19370901,63624,제주특별자치도 서귀포시 표선면 성읍민속로 65,647801800,647874637,http://seongeup.jje.es.kr
초등학교,공립,수산초등학교,서귀포시,남여공학,19461201,63630,제주특별자치도 서귀포시 성산읍 수시로 9,647830984,647830903,http://jjsusan.jje.es.kr
초등학교,공립,시흥초등학교,서귀포시,남여공학,19470524,63638,제주특별자치도 서귀포시 성산읍 시흥상동로 113,647822807,647821016,http://jjsiheung.jje.es.kr
초등학교,공립,신례초등학교,서귀포시,남여공학,19461129,63608,제주특별자치도 서귀포시 남원읍 중산간동로 7116,647672474,647673971,http://shinrye.jje.es.kr
초등학교,공립,신산초등학교,서귀포시,남여공학,19410705,63634,제주특별자치도 서귀포시 성산읍 일주동로 5104,647802800,647802888,http://sinsan.jje.es.kr
초등학교,공립,안덕초등학교,서귀포시,남여공학,19300421,63530,제주특별자치도 서귀포시 안덕면 화순로56번길 32,647949007,647920408,http://andeok.jje.es.kr
초등학교,공립,예래초등학교,서귀포시,남여공학,19440522,63537,제주특별자치도 서귀포시 예래로 210-14,647380240,647384240,http://yerae.jje.es.kr
초등학교,공립,온평초등학교,서귀포시,남여공학,19461202,63633,제주특별자치도 서귀포시 성산읍 일주동로 4740,647802700,647802777,http://onpyung.jje.es.kr
초등학교,공립,위미초등학교,서귀포시,남여공학,19390601,63611,제주특별자치도 서귀포시 남원읍 태위로 57,647600230,647600250,http://wimi.jje.es.kr
초등학교,공립,의귀초등학교,서귀포시,남여공학,19590220,63618,제주특별자치도 서귀포시 남원읍 한신로 213,647809900,647809999,http://euigwi.jje.es.kr
초등학교,공립,중문초등학교,서귀포시,남여공학,19270503,63545,제주특별자치도 서귀포시 천제연로 231,647305600,647383317,http://jungmun.jje.es.kr
초등학교,공립,창천초등학교,서귀포시,남여공학,19470305,63532,제주특별자치도 서귀포시 안덕면 창천중앙로 12,647949906,647940690,http://changcheon.jje.es.kr
초등학교,공립,태흥초등학교,서귀포시,남여공학,19470302,63617,제주특별자치도 서귀포시 남원읍 태위로 915,647641109,647646373,http://taeheung.jje.es.kr
초등학교,공립,토산초등학교,서귀포시,남여공학,19780315,63626,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,647870081,647874181,http://tosan.jje.es.kr
초등학교,공립,토평초등학교,서귀포시,남여공학,19461101,63604,제주특별자치도 서귀포시 토평남로 86,647622467,647320552,http://topyeong.jje.es.kr
초등학교,공립,표선초등학교,서귀포시,남여공학,19090712,63629,제주특별자치도 서귀포시 표선면 표선동서로 293,647871011,647873872,http://pyoseon.jje.es.kr
초등학교,공립,풍천초등학교,서귀포시,남여공학,19461203,63637,제주특별자치도 서귀포시 성산읍 풍천로 18,647865600,647865697,http://pungcheon.jje.es.kr
초등학교,공립,하례초등학교,서귀포시,남여공학,19461129,63613,제주특별자치도 서귀포시 남원읍 일주동로 8002,647605605,647605699,http://harye.jje.es.kr
초등학교,공립,하원초등학교,서귀포시,남여공학,19710319,63542,제주특별자치도 서귀포시 월평하원로 149,647380555,647381555,http://jjhawon.jje.es.kr
초등학교,공립,한마음초등학교,서귀포시,남여공학,20010302,63627,제주특별자치도 서귀포시 표선면 한마음초등로 408,647802311,647876215,http://hanmaum.jje.es.kr
초등학교,공립,효돈초등학교,서귀포시,남여공학,19380525,63606,제주특별자치도 서귀포시 효돈로 161,647671795,647671794,http://hyodon.jje.es.kr
초등학교,공립,흥산초등학교,서귀포시,남여공학,19461128,63616,제주특별자치도 서귀포시 남원읍 일주동로 6642,647302800,647302888,http://heungsan.jje.es.kr
중학교,공립,남원중학교,서귀포시,남여공학,19530430,63621,제주특별자치도 서귀포시 남원읍 남한로 36,647667502,647644005,http://namwon.jje.ms.kr
중학교,공립,대정중학교,서귀포시,남여공학,19461108,63513,제주특별자치도 서귀포시 대정읍 비행장로 18,647980700,647980705,http://daejung.jje.ms.kr
중학교,공립,무릉중학교,서귀포시,남여공학,19540715,63501,제주특별자치도 서귀포시 대정읍 서삼중로 106,647935300,647925303,http://murung.jje.ms.kr
중학교,공립,서귀중앙여자중학교,서귀포시,여,19810509,63585,제주특별자치도 서귀포시 중앙로 120,647305104,647321106,http://sgja-g.jje.ms.kr
중학교,공립,서귀포대신중학교,서귀포시,남여공학,19980324,63565,제주특별자치도 서귀포시 신중로13번길 15,647354603,647354606,http://daesin.jje.ms.kr
중학교,공립,서귀포여자중학교,서귀포시,여,19601201,63583,제주특별자치도 서귀포시 일주동로 8820,647308800,647625711,http://seogwipo-g.jje.ms.kr
중학교,공립,서귀포중학교,서귀포시,남,19461109,63595,제주특별자치도 서귀포시 태평로 474,647307900,647321132,http://seogwipo.jje.ms.kr
중학교,공립,성산중학교,서귀포시,남여공학,19511015,63641,제주특별자치도 서귀포시 성산읍 일주동로 4316,647840663,647821663,http://ss.jje.ms.kr
중학교,공립,신산중학교,서귀포시,남여공학,19700428,63634,제주특별자치도 서귀포시 성산읍 일주동로 5104,647802800,647802888,http://sinsan.jje.ms.kr
중학교,공립,안덕중학교,서귀포시,남여공학,19530428,63530,제주특별자치도 서귀포시 안덕면 화순로 74,647357700,647357736,http://andeok.jje.ms.kr
중학교,공립,위미중학교,서귀포시,남여공학,19710305,63609,제주특별자치도 서귀포시 남원읍 위미상원북로 34,647641121,647646313,http://wimi.jje.ms.kr
중학교,공립,중문중학교,서귀포시,남여공학,19451004,63546,제주특별자치도 서귀포시 천제연로232번길 10,647660100,647660110,http://jungmun.jje.ms.kr
중학교,공립,표선중학교,서귀포시,남여공학,19511016,63629,제주특별자치도 서귀포시 표선면 표선중앙로 31,647870629,647874688,http://pyoseon.jje.ms.kr
중학교,공립,효돈중학교,서귀포시,남여공학,19550515,63606,제주특별자치도 서귀포시 효돈로 207,647300201,647300290,http://hyodon.jje.ms.kr
중학교,사립,남주중학교,서귀포시,남,19670310,63579,제주특별자치도 서귀포시 동홍로303번길 14,647306193,647306199,http://namju.jje.ms.kr/
